text,labels
i need a break from this,2
Dealing with Ali is stressing me out.,4
"Didn't get nearly enough sleep before getting up to go to the game, so I felt like crap the first half.",8
"I've got so much work to catch up on at home here, and this week is going to be hectic at the job as well.",3
"I need a lot of looking after, and I get quite anxious when my mum isn't around.",6
Thats the problem in my family.,6
I'm gonna be exhausted and I'm workin with someone that I don't like working with.,3
financial situation,7
my annoying sister has been stressing me.,6
my job and career,3
problem at home,6
SCHOOL IS ABSOLUTELY KILLING ME,5
"I guess i have been very stressed out lately, cheques and etc...",7
My control has been shite over the past couple days. I need to do *something* today to get myself back.,0
My baby daddy won't go with me.,4
That was not fun and I am quite glad to have Monday over with.,0
This coronavirus might wipe out the human race!,2
"My thoughts are spinning out of control, my head hurts, my heart aches, my eyes swollen from tears, and im tired, so frucking tired, but who has time to sleep.",8
The world is a disaster right now.,2
Right now I've been sort of scrambling to get everything done on time.,2
"In other news my dog is going senile, my grandfather is real sick and I'm getting closer and closer to moving out.",6
my co-worker has been talking to me too much; can't get any work done.,3
My brother has been missing for a few weeks now. And I don't know what to do.,6
Soooooo I wasn't in the best of moods thanks to my family.,6
money and my job.,3
I have mixed memories of this place mostly because some tensions which occurred between me and my housemates,4
Being home with the kids all day during this pandemic!,6
lately the biggest stressor for me has been deadlines at work after year end.,3
"School is kicking my ass, i'm not studying enough.",5
i refused to care for so long.but yah now its starting to bother me.,0
The usual stressor in my life.,2
The Corona virus here in Washington is very stressful.,8
i am having some career and money troubles at the moment and i hate it,3
I'm just so stressed out with work I'm not getting along with my coworkers.,3
my boss is never around.,3
i hate that i haven't seen my family in over a week.,6
yeah had some hard times. dealt with an alcoholic abusive father,6
so i have my advanced algebra exam tomorrow which im soo scared about..,5
not being able to relax fully. my mind wonders alot.,0
Hi dear am not comfortable with my boyfriend,4
I have been stressed about my health and fear of COVID-19.,0
we are short staffed at work.,3
I've been cutting back on rping and stuff because rl is getting stressful.,2
i've been wondering if i should apply for promotion at work or not.,3
the covid-19 pandimic,8
"Today, was one of the worst days I can remember at school.",5
I'm finding it hard to update this thing everyday.,2
"My parents are fighting, we don't do ANYTHING as a family anymore and that pisses me off.",6
things just keep piling up politically.,2
"not getting my dad anything, but I have no money right now.",7
I spend money on classes that hold no interest for me so I don't do the work and now I'm very behind.,5
just been a long day at work and got into a fight there,3
